
Country,League,Club,Player_Names,Matches_Played,Substitution,Mins,Goals,xG,xG_Per_Avg_Match,Shots,OnTarget,Shots_Per_Avg_Match,On_Target_Per_Avg_Match,Year
Germany,Bundesliga,(RBL),Emil Forsberg,27,3,2420,8,5.8600000000000003,0.23000000000000001,49,32,1.9199999999999999,1.26,2016
Germany,Bundesliga,(RBL),Timo Werner,28,3,2496,21,12.609999999999999,0.47999999999999998,74,50,2.8199999999999998,1.9,2016
Germany,Bundesliga,(SCF),Nils Petersen,7,26,1351,10,9.2400000000000002,0.65000000000000002,52,33,3.6600000000000001,2.32,2016
Germany,Bundesliga,(SCH),Vedad Ibisevic,32,0,2772,12,12.84,0.44,72,46,2.4700000000000002,1.58,2016
Germany,Bundesliga,(WOB),Mario Gomez,32,1,2950,16,18.32,0.58999999999999997,84,45,2.71,1.45,2016
Germany,Bundesliga,(WOB),Maximilian Philipp,23,2,2000,9,6.1100000000000003,0.28999999999999998,53,34,2.52,1.62,2016
Germany,Bundesliga,(MAI),A�dam Szalai,7,15,833,8,3.9500000000000002,0.45000000000000001,18,15,2.0499999999999998,1.71,2016
Germany,Bundesliga,(DOR),Pierre-Emerick Aubameyang,31,1,2894,31,28.940000000000001,0.94999999999999996,116,78,3.8100000000000001,2.56,2016
Germany,Bundesliga,(STP),Guido Burgstaller,17,1,1494,9,8.1799999999999997,0.52000000000000002,45,24,2.8599999999999999,1.53,2016
Germany,Bundesliga,(UNB),Max Kruse,23,0,2121,15,8.4800000000000004,0.38,41,28,1.8400000000000001,1.25,2016
Germany,Bundesliga,(LAG),Chicharito,20,6,1895,11,11.57,0.57999999999999996,52,30,2.6099999999999999,1.5,2016
Germany,Bundesliga,(KOL),Anthony Modeste,34,0,3075,25,19.739999999999998,0.60999999999999999,101,53,3.1200000000000001,1.64,2016
Germany,Bundesliga,(GRO),Arjen Robben,21,5,1882,13,4.9500000000000002,0.25,83,52,4.1900000000000004,2.62,2016
England,Premier League,(ARS),Alexis Sanchez,36,2,3385,24,19.239999999999998,0.54000000000000004,129,49,3.6200000000000001,1.38,2016
England,Premier League,(EVE),Romelu Lukaku,36,1,3448,25,18.149999999999999,0.5,110,53,3.0299999999999998,1.46,2016
England,Premier League,(TOT),Harry Kane,29,1,2636,29,18.870000000000001,0.68000000000000005,110,58,3.96,2.09,2016
England,Premier League,(LEI),Jamie Vardy,33,2,2938,13,9.2799999999999994,0.29999999999999999,54,26,1.75,0.84,2016
England,Premier League,(CRY),Christian Benteke,36,0,3299,15,18.399999999999999,0.53000000000000003,105,38,3.02,1.09,2016
England,Premier League,(CHE),Pedro,26,9,2250,10,5.6799999999999997,0.23999999999999999,59,17,2.4900000000000002,0.72,2016
England,Premier League,(CHE),Eden Hazard,36,0,3101,16,11.1,0.34000000000000002,77,32,2.3599999999999999,0.98,2016
England,Premier League,(LIV),Roberto Firmino,34,1,3228,11,10.869999999999999,0.32000000000000001,104,43,3.0600000000000001,1.27,2016
England,Premier League,(LIV),Sadio Mane,26,1,2347,13,9.1400000000000006,0.37,58,24,2.3500000000000001,0.97,2016
England,Premier League,(BAR),Philippe Coutinho,28,3,2327,13,9.3100000000000005,0.38,107,36,4.3700000000000001,1.47,2016
England,Premier League,(ATL),Diego Costa,35,0,3232,20,16.670000000000002,0.48999999999999999,111,41,3.2599999999999998,1.21,2016
England,Premier League,(TOT),Dele Alli,35,2,3182,18,15.07,0.45000000000000001,95,43,2.8399999999999999,1.28,2016
England,Premier League,(MNC),Sergio Aguero,25,6,2444,21,22.379999999999999,0.87,139,51,5.4000000000000004,1.98,2016
England,Premier League,(SUN),Jermain Defoe,37,0,3511,15,15.52,0.41999999999999998,99,31,2.6800000000000002,0.84,2016
England,Premier League,(TOT),Fernando Llorente,28,5,2562,15,8.3599999999999994,0.31,52,25,1.9299999999999999,0.93,2016
England,Premier League,(WHU),Michail Antonio,29,0,2493,11,9.7100000000000009,0.37,79,25,3.0099999999999998,0.95,2016
England,Premier League,(MNU),Zlatan Ibrahimovic,27,1,2578,17,15.74,0.57999999999999996,115,45,4.2400000000000002,1.66,2016
England,Premier League,(CHE),Olivier Giroud,11,18,1311,12,6.9000000000000004,0.5,39,20,2.8300000000000001,1.45,2016
England,Premier League,(TOT),Son Heung-Min,23,11,2174,14,7.3200000000000003,0.32000000000000001,80,33,3.5,1.44,2016
England,Premier League,(BOU),Joshua King,31,5,2856,16,10.82,0.35999999999999999,67,29,2.23,0.96,2016
Brazil,Campeonato Brasileiro,(GRE),Diego Souza,34,0,2981,14,10.67,0.34000000000000002,86,35,2.7400000000000002,1.12,2016
Brazil,Campeonato Brasileiro,(SAP),Pablo,30,3,2757,9,7.5499999999999998,0.26000000000000001,63,24,2.1699999999999999,0.83,2016
Brazil,Campeonato Brasileiro,(ATM),Robinho,26,4,2234,12,8,0.34000000000000002,49,22,2.0800000000000001,0.94,2016
Brazil,Campeonato Brasileiro,(CAP),Kempes,19,7,1684,9,5.8499999999999996,0.33000000000000002,44,21,2.48,1.18,2016
Brazil,Campeonato Brasileiro,(MNC),Gabriel Jesus,26,1,2448,12,11.08,0.42999999999999999,75,34,2.9100000000000001,1.32,2016
Brazil,Campeonato Brasileiro,(CAP),Bruno Rangel,19,12,2016,10,8.9100000000000001,0.41999999999999998,35,17,1.6499999999999999,0.8,2016
Brazil,Campeonato Brasileiro,(CEA),Rogerio,22,9,2051,9,6.6900000000000004,0.31,81,28,3.75,1.3,2016
Brazil,Campeonato Brasileiro,(SAP),Vitor Bueno,32,1,2670,10,9.2699999999999996,0.33000000000000002,73,30,2.6000000000000001,1.07,2016
Brazil,Campeonato Brasileiro,(SAN),Marinho,27,0,2360,12,7.4500000000000002,0.29999999999999999,111,34,4.4699999999999998,1.37,2016
Brazil,Campeonato Brasileiro,(SNC),Grafite,29,2,2511,13,14.01,0.53000000000000003,64,34,2.4199999999999999,1.29,2016
Brazil,Campeonato Brasileiro,(HUR),Andres Chavez,19,2,1786,9,10.529999999999999,0.56000000000000005,67,32,3.5600000000000001,1.7,2016
Brazil,Campeonato Brasileiro,(BOT),Cicero Semedo,35,0,3322,9,9.7899999999999991,0.28000000000000003,62,27,1.77,0.77,2016
Brazil,Campeonato Brasileiro,(JVT),Sassa,13,13,1412,12,11.15,0.75,41,25,2.7599999999999998,1.68,2016
Brazil,Campeonato Brasileiro,(FLA),Giorgian de Arrascaeta,30,1,2423,9,7.6500000000000004,0.29999999999999999,75,24,2.9399999999999999,0.94,2016
Brazil,Campeonato Brasileiro,(CAM),Keno,32,2,3093,10,6.1900000000000004,0.19,73,25,2.2400000000000002,0.77,2016
Brazil,Campeonato Brasileiro,(FLU),Fred,33,1,2821,14,13.66,0.46000000000000002,63,28,2.1200000000000001,0.94,2016
Brazil,Campeonato Brasileiro,(COR),Kleber Gladiador,23,1,2143,9,8.3499999999999996,0.37,50,23,2.2200000000000002,1.02,2016
Brazil,Campeonato Brasileiro,(ATL),Pottker,19,12,2007,14,8.6600000000000001,0.40999999999999998,61,25,2.8900000000000001,1.18,2016
Brazil,Campeonato Brasileiro,(ATN),Jonathan Copete,22,3,2147,10,8.1400000000000006,0.35999999999999999,37,17,1.6399999999999999,0.75,2016
Brazil,Campeonato Brasileiro,(CFC),Ricardo Oliveira,20,0,1834,11,8.4900000000000002,0.44,53,25,2.75,1.29,2016
Spain,La Liga,(GET),Angel Rodriguez,26,7,2390,13,11.82,0.46999999999999997,68,31,2.7000000000000002,1.23,2017
Spain,La Liga,(BAR),Antoine Griezmann,30,2,2596,19,15.58,0.56999999999999995,72,40,2.6299999999999999,1.46,2017
Spain,La Liga,(CEL),Iago Aspas,33,1,3053,22,19.920000000000002,0.62,94,43,2.9199999999999999,1.34,2017
Spain,La Liga,(RMA),Gareth Bale,20,6,1872,16,12.81,0.65000000000000002,77,32,3.9100000000000001,1.62,2017
Spain,La Liga,(VAL),Rodrigo,31,6,2770,16,15.449999999999999,0.53000000000000003,92,38,3.1600000000000001,1.3,2017
Spain,La Liga,(ATL),Luis Suarez,32,1,3008,25,25.649999999999999,0.81000000000000005,121,55,3.8199999999999998,1.74,2017
Spain,La Liga,(LEV),Sergio Leon,23,8,2071,11,11.119999999999999,0.51000000000000001,65,27,2.98,1.24,2017
Spain,La Liga,(BAR),Lionel Messi,32,4,3123,33,32.539999999999999,0.98999999999999999,197,95,5.9900000000000002,2.89,2017
Spain,La Liga,(VAL),Maxi Gomez,35,1,3168,18,18.010000000000002,0.54000000000000004,83,37,2.4900000000000002,1.11,2017
Spain,La Liga,(SOC),Mikel Oyarzabal,31,4,2864,12,9.3499999999999996,0.31,65,32,2.1600000000000001,1.06,2017
Spain,La Liga,(SOC),Willian Josa,32,2,2869,15,13.890000000000001,0.46000000000000002,89,29,2.9500000000000002,0.96,2017
Spain,La Liga,(VAL),Simone Zaza,23,10,2163,13,12.07,0.53000000000000003,73,24,3.21,1.05,2017
Spain,La Liga,(RMA),Cristiano Ronaldo,27,0,2375,26,29,1.1599999999999999,178,76,7.1200000000000001,3.04,2017
Spain,La Liga,(SOC),Portu,35,2,3081,11,10.699999999999999,0.33000000000000002,49,25,1.51,0.77,2017
Spain,La Liga,(VIL),Gerard Moreno,38,0,3555,16,17.960000000000001,0.47999999999999998,105,47,2.8100000000000001,1.26,2017
Spain,La Liga,(GIR),Cristhian Stuani,32,1,2785,21,20.52,0.69999999999999996,74,37,2.52,1.26,2017
Spain,La Liga,(VIL),Carlos Bacca,30,5,2572,15,14.35,0.53000000000000003,73,34,2.7000000000000002,1.26,2017
Spain,La Liga,(CEL),Santi Mina,17,15,1630,12,9.4399999999999995,0.55000000000000004,43,20,2.5099999999999998,1.17,2017
Spain,La Liga,(LEV),Morales,35,0,3180,10,10.710000000000001,0.32000000000000001,61,25,1.8200000000000001,0.75,2017
Spain,La Liga,(SEV),Munir,28,5,2517,10,10.6,0.40000000000000002,62,23,2.3399999999999999,0.87,2017
Italy,Serie A,(FIO),Jose Callejon,38,0,3359,10,10.25,0.28999999999999998,64,32,1.8100000000000001,0.91,2017
Italy,Serie A,(LAZ),Sergej Milinkovic-Savic,33,2,3014,12,6.6600000000000001,0.20999999999999999,91,34,2.8700000000000001,1.07,2017
Italy,Serie A,(ATA),Duvan Zapata,24,7,2229,11,9.3900000000000006,0.40000000000000002,57,22,2.4300000000000002,0.94,2017
Italy,Serie A,(JUV),Paulo Dybala,26,7,2407,22,11.4,0.45000000000000001,114,45,4.5,1.78,2017
Italy,Serie A,(IMI),Gonzalo Higuain,32,3,2935,16,12.050000000000001,0.39000000000000001,102,40,3.2999999999999998,1.29,2017
Italy,Serie A,(SPA),Mirco Antenucci,28,5,2735,11,8.0600000000000005,0.28000000000000003,65,26,2.2599999999999998,0.9,2017
Italy,Serie A,(SAM),Fabio Quagliarella,33,2,2864,19,17.789999999999999,0.58999999999999997,113,46,3.75,1.53,2017
Italy,Serie A,(LAZ),Luis Alberto,32,2,2797,11,6.7699999999999996,0.23000000000000001,81,25,2.75,0.85,2017
Italy,Serie A,(PAR),Roberto Inglese,33,1,2914,12,9.8200000000000003,0.32000000000000001,76,37,2.48,1.21,2017
Italy,Serie A,(TOR),Andrea Belotti,29,3,2854,10,11.720000000000001,0.39000000000000001,86,28,2.8599999999999999,0.93,2017
Italy,Serie A,(ATA),Josip Ilicic,21,10,2115,11,8.2400000000000002,0.37,89,36,4,1.62,2017
Italy,Serie A,(CAG),Giovanni Simeone,36,2,3157,14,13.289999999999999,0.40000000000000002,107,37,3.2200000000000002,1.11,2017
Italy,Serie A,(INT),Ivan Perisic,37,0,3491,11,9.1899999999999995,0.25,116,38,3.1600000000000001,1.03,2017
Italy,Serie A,(ROM),Edin Dzeko,33,3,3177,16,16.390000000000001,0.48999999999999999,152,56,4.5499999999999998,1.67,2017
Italy,Serie A,(CAG),Leonardo Pavoletti,31,2,2897,11,11.279999999999999,0.37,87,34,2.8500000000000001,1.11,2017
Italy,Serie A,(LAZ),Ciro Immobile,33,0,2799,29,19.149999999999999,0.65000000000000002,110,53,3.73,1.8,2017
Italy,Serie A,(NAP),Dries Mertens,35,3,3133,18,16.16,0.48999999999999999,128,47,3.8799999999999999,1.43,2017
Italy,Serie A,(PSG),Mauro Icardi,34,0,3096,29,23.140000000000001,0.70999999999999996,101,53,3.1000000000000001,1.63,2017
Italy,Serie A,(UDI),Kevin Lasagna,26,3,2244,12,11.34,0.47999999999999998,72,31,3.0499999999999998,1.31,2017
Italy,Serie A,(BEN),Iago Falque,34,3,2950,12,9.0099999999999998,0.28999999999999998,76,22,2.4500000000000002,0.71,2017
Germany,Bundesliga,(BAY),Robert Lewandowski,24,6,2247,29,26.489999999999998,1.1200000000000001,127,54,5.3700000000000001,2.28,2017
Germany,Bundesliga,(SVW),Niclas Fullkrug,26,8,2507,14,12.140000000000001,0.46000000000000002,87,33,3.2999999999999998,1.25,2017
Germany,Bundesliga,(STP),Guido Burgstaller,24,8,2447,11,8.2400000000000002,0.32000000000000001,55,25,2.1400000000000001,0.97,2017
Germany,Bundesliga,(BOT),Salomon Kalou,27,4,2272,12,9.3300000000000001,0.39000000000000001,50,23,2.0899999999999999,0.96,2017
Germany,Bundesliga,(DOR),Thorgan Hazard,33,1,3062,10,12.890000000000001,0.40000000000000002,87,33,2.7000000000000002,1.02,2017
Germany,Bundesliga,(NAN),Jean-Kevin Augustin,14,11,1330,9,6.1600000000000001,0.44,37,18,2.6400000000000001,1.29,2017
Germany,Bundesliga,(BAY),Serge Gnabry,20,2,1555,10,5.5700000000000003,0.34000000000000002,49,23,2.9900000000000002,1.41,2017
Germany,Bundesliga,(HOF),Andrej Kramaric,22,12,2353,13,9.6600000000000001,0.39000000000000001,83,35,3.3500000000000001,1.41,2017
Germany,Bundesliga,(SCF),Nils Petersen,24,8,2362,15,11.93,0.47999999999999998,63,24,2.5299999999999998,0.97,2017
Germany,Bundesliga,(HOF),Sandro Wagner,18,7,1666,12,10,0.56999999999999995,55,26,3.1400000000000001,1.48,2017
Germany,Bundesliga,(RBL),Timo Werner,28,4,2596,13,13.390000000000001,0.48999999999999999,95,40,3.48,1.46,2017
Germany,Bundesliga,(LEV),Leon Bailey,25,5,2317,9,7.5599999999999996,0.31,76,27,3.1200000000000001,1.11,2017
Germany,Bundesliga,(VfB),Daniel Didavi,26,4,2312,9,3.8900000000000001,0.16,55,19,2.2599999999999998,0.78,2017
Germany,Bundesliga,(FCA),Alfred Finnbogason,22,0,1879,12,11.08,0.56000000000000005,51,25,2.5800000000000001,1.26,2017
Germany,Bundesliga,(SVW),Davie Selke,19,8,1974,10,8.0999999999999996,0.39000000000000001,47,22,2.2599999999999998,1.06,2017
Germany,Bundesliga,(SCH),Mark Uth,24,7,2279,14,9.8399999999999999,0.40999999999999998,54,21,2.25,0.88,2017
Germany,Bundesliga,(FCA),Michael Gregoritsch,30,2,2626,13,10.779999999999999,0.39000000000000001,92,36,3.3300000000000001,1.3,2017
